Beer Name,Brewery Name,Type,Their Rating,Global Rating,ABV,IBU,Total
Galactic Yacht Party,Platt Park Brewing Company,4,3.78,5.8,N/A,1
Galaxy DDH Juicy Bits,WeldWerks Brewing Co.,4.75,4.3,6.7,65,1
George Killian's Irish Red,Coors Brewing Company,2.75,3.29,5.4,14,1
German Style Lager,Kirkland Signature,2,2.93,5.5,N/A,1
Gggreennn!,Tree House Brewing Company,4.5,4.49,7.5,N/A,1
Gnar Shredder,Wild Blue Yonder Brewing Co.,3.75,3.74,8.5,40,1
Gold Dust Waves,WeldWerks Brewing Co.,4,4.02,6.1,N/A,1
Golden Haze - N.E. IPA,New Terrain Brewing Co.,3.75,3.95,6.8,60,1
Golden Lager,Colorado Native,3,3.44,5.5,27,1
Golden Mosaic,Gravity Brewing,3.5,3.77,5.8,35,1
Goose IPA,Goose Island Beer Co.,3,3.51,5.9,55,1
Gose,Crystal Springs Brewing Company,3.25,3.47,4.4,10,1
Graham Cracker Porter,Denver Beer Co.,4,3.79,5.6,15,1
Grapefruit Double IPA,Dry Dock Brewing Company,4,3.93,9,90,1
Grapefruit Yanker IPA,Eddyline Brewery - USA,3.25,3.87,7,70,1
Green,Tree House Brewing Company,4.25,4.43,7.5,90,1
Green Cannonball IPA,Ulele Spring Brewery,3.75,3.61,7.5,N/A,1
Green Shell,WeldWerks Brewing Co.,4,3.97,4.7,N/A,1
Green Showers,Novel Strand Brewing Company,3.75,3.83,6.2,N/A,1
Greenhouse IPA,Hops & Grain Brewing,3.75,3.77,7.6,71,1
Groovity,Gravity Brewing,3.25,3.68,5.8,22,1
Guinness Blonde,Guinness,3,3.25,5,19,1
Guinness Draught,Guinness,3.75,3.77,4.2,45,1
Guinness Foreign Extra Stout,Guinness,4,3.66,7.5,47,1
Guinness Original (Europe),Guinness,3.75,3.54,4.2,N/A,1
Harp Premium Lager,Guinness,3.25,3.31,4.5,21,1
Harpoon IPA,Harpoon Brewery,3.25,3.5,6,42,1
Haze,Tree House Brewing Company,4.5,4.47,8.2,90,1
Haze Jude,Platform Beer Company,3.5,3.86,6,46,1
Haze Trip,Bozeman Brewing Company,3.5,3.73,4.7,40,1
Hazy IPA,Great Divide Brewing Company,4,3.85,6.2,40,1
Hazy IPA,Irwin Brewing Company,3.5,3.82,7.5,55,1
Hazy IPA,MadeWest Brewing Company,3.75,3.93,7,35,1
Hazy Jane,BrewDog,4,3.68,5,N/A,1
Hazy Little Thing,Sierra Nevada Brewing Co.,3.5,3.78,6.7,35,1
Hazy Monday,Central Coast Brewing,3.75,3.92,7.2,N/A,1
Hazy Sunday,12Degree Brewing,4.25,3.82,6.4,N/A,1
Hazy-O!,Dogfish Head Craft Brewery,3.75,3.78,7.1,45,1
Hazyish IPA,Avery Brewing Co.,3.75,3.71,6.5,30,1
Heady Topper,The Alchemist,4.75,4.53,8,100,1
Heavenly Daze,Zilker Brewing Company,4,3.87,6.8,30,1
Hefeweizen,Prost Brewing Co. & Biergarten,3.75,3.7,5,12,1
Hercules Double IPA,Great Divide Brewing Company,4,3.82,10,85,1
